Symbol,Name
VNET,"21Vianet Group, Inc."
TWOU,"2U, Inc."
DDD,3D Systems Corporation
JOBS,"51job, Inc."
WUBA,58.com Inc.
ATEN,"A10 Networks, Inc."
AAN,"Aaron&#39;s, Inc."
ACIW,"ACI Worldwide, Inc."
ACTS,"Actions Semiconductor Co., Ltd."
ATVI,"Activision Blizzard, Inc"
ACTA,Actua Corporation
ATU,Actuant Corporation
ACXM,Acxiom Corporation
ADEP,"Adept Technology, Inc."
ADBE,Adobe Systems Incorporated
AMD,"Advanced Micro Devices, Inc."
ASX,"Advanced Semiconductor Engineering, Inc."
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS
ADVS,"Advent Software, Inc."
AER,Aercap Holdings N.V.
ACY,AeroCentury Corp.
HIVE,"Aerohive Networks, Inc."
WGA,"AG&E Holdings, Inc."
AGYS,"Agilysys, Inc."
AL,Air Lease Corporation
AYR,Aircastle Limited
AMCN,AirMedia Group Inc
AIXG,Aixtron SE
AFOP,"Alliance Fiber Optic Products, Inc."
ALLT,Allot Communications Ltd.
MDRX,"Allscripts Healthcare Solutions, Inc."
AOSL,Alpha and Omega Semiconductor Limited
ALTR,Altera Corporation
AMBA,"Ambarella, Inc."
AMBR,"Amber Road, Inc."
DOX,Amdocs Limited
AMSWA,"American Software, Inc."
AMKR,"Amkor Technology, Inc."
AHS,AMN Healthcare Services Inc
ASYS,"Amtech Systems, Inc."
ANAD,"ANADIGICS, Inc."
ADI,"Analog Devices, Inc."
ANSS,"ANSYS, Inc."
AOL,AOL Inc.
ATNY,API Technologies Corp.
APIC,Apigee Corporation
AAPL,Apple Inc.
AMAT,"Applied Materials, Inc."
AMCC,Applied Micro Circuits Corporation
AAOI,"Applied Optoelectronics, Inc."
ARIS,"ARI Network Services, Inc."
ANET,"Arista Networks, Inc."
ARMH,ARM Holdings plc
ARRS,"ARRIS Group, Inc."
ASTI,"Ascent Solar Technologies, Inc."
ASMI,ASM International N.V.
ASML,ASML Holding N.V.
AZPN,"Aspen Technology, Inc."
ALOT,"Astro-Med, Inc."
ASUR,Asure Software Inc
ATML,Atmel Corporation
ATTU,Attunity Ltd.
AUO,AU Optronics Corp
ADNC,"Audience, Inc."
ADAT,Authentidate Holding Corp.
ABTL,Autobytel Inc.
ADSK,"Autodesk, Inc."
ATHM,Autohome Inc.
ADP,"Automatic Data Processing, Inc."
AVGO,Avago Technologies Limited
AVG,AVG Technologies N.V.
AVNW,"Aviat Networks, Inc."
AVOL,Avolon Holdings Limited
AWRE,"Aware, Inc."
ACLS,"Axcelis Technologies, Inc."
AXTI,AXT Inc
BOSC,B.O.S. Better Online Solutions
BIDU,"Baidu, Inc."
CUDA,"Barracuda Networks, Inc."
BBSI,"Barrett Business Services, Inc."
BV,"Bazaarvoice, Inc."
BHE,"Benchmark Electronics, Inc."
BNFT,"Benefitfocus, Inc."
BGSF,BG Staffing Inc
BITA,Bitauto Holdings Limited
BBOX,Black Box Corporation
BKFS,"Black Knight Financial Services, Inc."
BLKB,"Blackbaud, Inc."
BDR,"Blonder Tongue Laboratories, Inc."
BCOR,"Blucora, Inc."
CBDE,BlueNRGY Group Limited
EPAY,"Bottomline Technologies, Inc."
BOX,"Box, Inc."
BLIN,"Bridgeline Digital, Inc."
BCOV,Brightcove Inc.
BRCM,Broadcom Corporation
BSFT,"BroadSoft, Inc."
BVSN,"BroadVision, Inc."
BRCD,"Brocade Communications Systems, Inc."
BRKS,"Brooks Automation, Inc."
CA,CA Inc.
CCMP,Cabot Microelectronics Corporation
CACI,"CACI International, Inc."
CDNS,"Cadence Design Systems, Inc."
CAP,"Cai International, Inc."
CAMP,CalAmp Corp.
CALD,"Callidus Software, Inc."
CSIQ,Canadian Solar Inc.
CARB,"Carbonite, Inc."
CSLT,"Castlight Health, inc."
CAVM,"Cavium, Inc."
CDI,CDI Corporation
CLS,"Celestica, Inc."
CRNT,Ceragon Networks Ltd.
CERN,Cerner Corporation
CEVA,"CEVA, Inc."
CYOU,Changyou.com Limited
ECOM,ChannelAdvisor Corporation
CHKP,Check Point Software Technologies Ltd.
CMCM,Cheetah Mobile Inc.
CVR,Chicago Rivet & Machine Co.
STV,"China Digital TV Holding Co., Ltd."
CNIT,"China Information Technology, Inc."
CMGE,China Mobile Games and Entertainment Group Limited
CSUN,"China Sunergy Co., Ltd."
CCIH,ChinaCache International Holdings Ltd.
CNET,"ChinaNet Online Holdings, Inc."
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.
CBR,"Ciber, Inc."
CRUS,"Cirrus Logic, Inc."
CSCO,"Cisco Systems, Inc."
CTXS,"Citrix Systems, Inc."
CLNT,"Cleantech Solutions International, Inc."
CKSW,ClickSoftware Technologies Ltd.
CDRB,Code Rebel Corporation
CCOI,"Cogent Communications Holdings, Inc."
CTSH,Cognizant Technology Solutions Corporation
CLRX,"CollabRx, Inc."
COMM,"CommScope Holding Company, Inc."
CVLT,"CommVault Systems, Inc."
CPSI,"Computer Programs and Systems, Inc."
CSC,Computer Sciences Corporation
CTG,"Computer Task Group, Incorporated"
CMTL,Comtech Telecommunications Corp.
CCUR,Concurrent Computer Corporation
CNXR,"Connecture, Inc."
CTCT,"Constant Contact, Inc."
CVG,Convergys Corporation
CLGX,"CoreLogic, Inc."
CSOD,"Cornerstone OnDemand, Inc."
CPAH,CounterPath Corporation
COVR,Cover-All Technologies Inc.
COVS,Covisint Corporation
CRAY,Cray Inc
CREE,"Cree, Inc."
CRTO,Criteo S.A.
CCRN,"Cross Country Healthcare, Inc."
CRDS,"Crossroads Systems, Inc."
CSGS,"CSG Systems International, Inc."
CSPI,CSP Inc.
CSRE,CSR plc
CTP,CTPartners Executive Search Inc.
CTS,CTS Corporation
CW,Curtiss-Wright Corporation
CVV,CVD Equipment Corporation
CVT,"CVENT, INC."
CYNI,"Cyan, Inc."
CYBR,CyberArk Software Ltd.
CY,Cypress Semiconductor Corporation
CYRN,CYREN Ltd.
DAEG,Daegis Inc
DQ,DAQO New Energy Corp.
DTLK,Datalink Corporation
DRAM,Dataram Corporation
DWCH,Datawatch Corporation
TRAK,"Dealertrack Technologies, Inc."
DMD,Demand Media Inc.
DWRE,"DEMANDWARE, INC."
DGII,Digi International Inc.
DMRC,Digimarc Corporation
DGLY,"Digital Ally, Inc."
DIOD,Diodes Incorporated
DLHC,DLH Holdings Corp.
DSS,"Document Security Systems, Inc."
DLB,Dolby Laboratories
HILL,Dot Hill Systems Corporation
DOV,Dover Corporation
DSPG,"DSP Group, Inc."
DST,"DST Systems, Inc."
ELNK,EarthLink Holdings Corp.
ETN,"Eaton Corporation, PLC"
EBIX,"Ebix, Inc."
ELON,Echelon Corporation
SATS,EchoStar Corporation
EDGW,"Edgewater Technology, Inc."
EFUT,eFuture Information Technology Inc.
EGAN,eGain Corporation
ELRC,Electro Rent Corporation
EA,Electronic Arts Inc.
EFII,"Electronics for Imaging, Inc."
ELLI,"Ellie Mae, Inc."
ELTK,Eltek Ltd.
EMAN,eMagin Corporation
EMC,EMC Corporation
EMKR,EMCORE Corporation
EIGI,"Endurance International Group Holdings, Inc."
WATT,Energous Corporation
ERII,"Energy Recovery, Inc."
ENOC,"EnerNOC, Inc."
ENPH,"Enphase Energy, Inc."
ENVI,"Envivio, Inc."
EPAM,"EPAM Systems, Inc."
EPIQ,"EPIQ Systems, Inc."
PLUS,ePlus inc.
ERIC,Ericsson
EVTC,"Evertec, Inc."
EVOL,"Evolving Systems, Inc."
EXA,Exa Corporation
EXAR,Exar Corporation
EXH,"Exterran Holdings, Inc."
EXTR,"Extreme Networks, Inc."
EZCH,EZchip Semiconductor Limited
FFIV,"F5 Networks, Inc."
FB,"Facebook, Inc."
FDS,FactSet Research Systems Inc.
FCS,"Fairchild Semiconductor International, Inc."
FALC,"FalconStor Software, Inc."
FNSR,Finisar Corporation
FEYE,"FireEye, Inc."
FSLR,"First Solar, Inc."
FISV,"Fiserv, Inc."
FIVN,"Five9, Inc."
FLTX,Fleetmatics Group PLC
FLEX,Flextronics International Ltd.
FORM,"FormFactor, Inc."
FORTY,Formula Systems (1985) Ltd.
FTNT,"Fortinet, Inc."
FSL,"Freescale Semiconductor, Ltd."
JOB,"General Employment Enterprises, Inc."
GIGM,GigaMedia Limited
GIMO,Gigamon Inc.
GIG,"GigOptix, Inc."
GILT,Gilat Satellite Networks Ltd.
GSB,"GlobalSCAPE, Inc."
GLOB,Globant S.A.
GLUU,Glu Mobile Inc.
GDDY,GoDaddy Inc.
GOOG,Google Inc.
GOOGL,Google Inc.
GHM,Graham Corporation
GRPN,"Groupon, Inc."
GVP,"GSE Systems, Inc."
GSIT,"GSI Technology, Inc."
GUID,"Guidance Software, Inc."
GWRE,"Guidewire Software, Inc."
HQCL,"Hanwha Q CELLS Co., Ltd."
HLIT,Harmonic Inc.
HHS,"Harte-Hanks, Inc."
HSTM,"HealthStream, Inc."
HSII,"Heidrick & Struggles International, Inc."
HPQ,Hewlett-Packard Company
HIMX,"Himax Technologies, Inc."
AWAY,"HomeAway, Inc."
HDP,"Hortonworks, Inc."
HUBS,"HubSpot, Inc."
HSON,"Hudson Global, Inc."
INVE,"Identiv, Inc."
DSKY,iDreamSky Technology Limited
IEC,IEC Electronics Corp.
IGTE,iGATE Corporation
IHS,IHS Inc.
